"ID","Achimill","Agrostol","Airaprae","Alopgeni","Anthodor","Bellpere","Bromhord","Chenalbu","Cirsarve","Comapalu","Eleopalu","Elymrepe","Empenigr","Hyporadi","Juncarti","Juncbufo","Lolipere","Planlanc","Poaprat","Poatriv","Ranuflam","Rumeacet","Sagiproc","Salirepe","Scorautu","Trifprat","Trifrepe","Vicilath","Bracruta","Callcusp"
"1",1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0
"2",3,0,0,2,0,3,4,0,0,0,0,4,0,0,0,0,5,0,4,7,0,0,0,0,5,0,5,0,0,0
"3",0,4,0,7,0,2,0,0,0,0,0,4,0,0,0,0,6,0,5,6,0,0,0,0,2,0,2,0,2,0
"4",0,8,0,2,0,2,3,0,2,0,0,4,0,0,0,0,5,0,4,5,0,0,5,0,2,0,1,0,2,0
"5",2,0,0,0,4,2,2,0,0,0,0,4,0,0,0,0,2,5,2,6,0,5,0,0,3,2,2,0,2,0
"6",2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,0,6,0,0,3,5,5,0,6,0
"7",2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,6,5,4,5,0,3,0,0,3,2,2,0,2,0
"8",0,4,0,5,0,0,0,0,0,0,4,0,0,0,4,0,4,0,4,4,2,0,2,0,3,0,2,0,2,0
"9",0,3,0,3,0,0,0,0,0,0,0,6,0,0,4,4,2,0,4,5,0,2,2,0,2,0,3,0,2,0
"10",4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,0,0,3,0,6,1,2,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,4,0,0,0,2,0,5,0,3,2,4,0
"12",0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,4,0,2,0,3,0,4,0
"13",0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,9,2,0,2,0,2,0,2,0,0,0
"14",0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,4
"15",0,4,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,4,0
"16",0,7,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,4,3
"17",2,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0
"18",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,5,0,2,1,6,0
"19",0,0,3,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,3,6,0,2,0,3,0
"20",0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,5,2,0,0,0,4,3
